transaction_id,merchant_name,category,amount,currency,transaction_date,status,customer_id,payment_method,merchant_city,issue_found,severity,auto_fixable
TXN100015,FuelPlus,fuel,3263.33,INR,2026-06-02,completed,C1104,card,Mumbai,Future date (2026-06-02),Medium,No
TXN100016,HealthHub,pharmacy,12393.93,INR,2026-06-04,completed,C1065,UPI,Kolkata,Future date (2026-06-04),Medium,No
TXN100017,CloudStore,tech,-2847.5,INR,2026-06-01,failed,C1073,UPI,Hyderabad,None,Low,N/A
TXN100018,CloudStore,tech,1163.19,INR,2026-06-02,pending,C1102,netbanking,Kolkata,Future date (2026-06-02),Medium,No
TXN100019,MobiRecharge,telecom,8859.09,INR,2026-06-04,completed,C1136,UPI,Mumbai,Future date (2026-06-04),Medium,No
TXN100020,HealthHub,pharmacy,942.52,INR,2026-06-03,pending,C1197,wallet,Mumbai,Future date (2026-06-03),Medium,No
TXN100021,MediPharm,pharmacy,18796.37,INR,2026-06-02,completed,C1027,netbanking,Mumbai,Future date (2026-06-02),Medium,No
TXN100022,MobiRecharge,telecom,17826.91,INR,2026-06-02,pending,C1075,wallet,Kolkata,Future date (2026-06-02),Medium,No
TXN100023,FuelPlus,fuel,19429.59,INR,2026-06-04,completed,C1017,NEFT,Chennai,Future date (2026-06-04),Medium,No
TXN100024,HealthHub,pharmacy,15103.59,INR,2026-06-03,pending,C1136,card,Chennai,Future date (2026-06-03),Medium,No
TXN100025,PetCorner,pet,19408.95,USD,2026-06-04,failed,C1040,netbanking,Delhi,Future date (2026-06-04) & Currency is USD,Medium,No
TXN100026,SpeedPay,payments,14962.3,INR,2026-06-04,completed,C1097,netbanking,Mumbai,Future date (2026-06-04),Medium,No
TXN100027,GroceryHub,grocery,214.33,INR,2026-06-03,completed,C1049,card,Kolkata,Future date (2026-06-03),Medium,No
TXN100028,SpeedPay,payments,5830.31,INR,2026-06-04,completed,C1104,netbanking,Pune,Future date (2026-06-04),Medium,No
TXN100029,PetCorner,pet,199.17,USD,2026-06-02,completed,C1133,netbanking,Pune,Future date (2026-06-02) & Currency is USD,Medium,No
TXN100030,FreshMart,retail,21791.14,INR,2026-06-04,completed,C1067,wallet,Delhi,Future date (2026-06-04),Medium,No
TXN100031,TravelEasy,travel,11738.96,INR,2026-06-03,completed,C1189,UPI,Bengaluru,Future date (2026-06-03),Medium,No
TXN100032,MobiRecharge,telecom,6848.12,INR,2026-06-01,completed,C1106,netbanking,Chennai,None,Low,N/A
TXN100033,TravelEasy,travel,13825.62,INR,99-99-9999,completed,C1193,UPI,Kolkata,Future date (99-99-9999),Medium,No
TXN100034,MobiRecharge,telecom,8755.18,INR,2026-06-02,completed,C1117,netbanking,Mumbai,Future date (2026-06-02),Medium,No
TXN100035,HealthHub,pharmacy,2978.92,INR,2026-06-04,pending,C1107,NEFT,Pune,Future date (2026-06-04),Medium,No
TXN100036,CafeBlend,food,7993.28,INR,2026-06-02,completed,C1118,NEFT,Kolkata,Future date (2026-06-02),Medium,No
TXN100037,HealthHub,pharmacy,15430.56,INR,2026-06-02,pending,C1146,wallet,Pune,Future date (2026-06-02),Medium,No
TXN100038,CafeBlend,food,21571.93,INR,2026-06-02,pending,C1133,UPI,Bengaluru,Future date (2026-06-02),Medium,No
TXN100039,GroceryHub,grocery,17542.26,INR,2026-06-01,completed,C1167,UPI,Hyderabad,None,Low,N/A
TXN100040,SpeedPay,payments,11782.3,INR,2026-06-01,failed,C1081,wallet,Chennai,None,Low,N/A
TXN100041,CafeBlend,food,3099.01,IND,2026-06-01,pending,C1009,UPI,Chennai,Currency is IND,Medium,No
TXN100042,TravelEasy,travel,5151.43,INR,2026-06-03,completed,C1112,UPI,Pune,Future date (2026-06-03),Medium,No
TXN100043,MobiRecharge,telecom,9259.65,INR,2026-06-02,completed,C1124,card,Chennai,Future date (2026-06-02),Medium,No
TXN100044,MediPharm,pharmacy,14491.62,INR,2026-06-01,failed,C1050,NEFT,Mumbai,None,Low,N/A
TXN100045,FreshMart,retail,7858.57,INR,2026-06-01,completed,C1185,card,Kolkata,None,Low,N/A
TXN100046,CafeBlend,food,3406.32,INR,2026-06-01,completed,C1194,NEFT,Pune,None,Low,N/A
TXN100047,PetCorner,pet,3764.42,USD,2026-06-02,failed,C1155,NEFT,Mumbai,Future date (2026-06-02) & Currency is USD,Medium,No
TXN100048,GroceryHub,grocery,17037.06,INR,2026/06/02,pending,C1048,netbanking,Mumbai,Future date (2026/06/02),Medium,No
TXN100049,FreshMart,retail,2551.65,INR,2026-06-04,failed,C1187,UPI,Mumbai,Future date (2026-06-04),Medium,No
TXN100050,PetCorner,pet,20179.87,USD,2026-06-01,completed,C1145,wallet,Pune,Currency is USD,Medium,No
TXN100051,MobiRecharge,telecom,13301.72,INR,2026-06-01,completed,C1042,wallet,Chennai,None,Low,N/A
TXN100052,MediPharm,pharmacy,6977.11,INR,2026-06-01,failed,C1101,UPI,Chennai,None,Low,N/A
TXN100053,CafeBlend,food,3024.49,INR,2026-06-01,completed,C1142,netbanking,Chennai,None,Low,N/A
TXN100054,FuelPlus,fuel,0,INR,2026-06-01,completed,C1090,card,Hyderabad,None,Low,N/A
TXN100055,SpeedPay,payments,7063.09,INR,2026-06-03,completed,C1008,wallet,Kolkata,Future date (2026-06-03),Medium,No
TXN100056,MediPharm,pharmacy,13472.77,INR,2026-06-02,completed,C1195,netbanking,Pune,Future date (2026-06-02),Medium,No
TXN100057,PetCorner,pet,9289.91,USD,2026-06-02,completed,C1134,wallet,Bengaluru,Future date (2026-06-02) & Currency is USD,Medium,No
TXN100058,TechZone,electronics,5409.82,INR,2026-06-03,completed,C1145,UPI,Delhi,Future date (2026-06-03),Medium,No
TXN100059,QuickMart,retail,12494.49,INR,2026-06-01,completed,C1033,card,Pune,None,Low,N/A
TXN100060,MediPharm,pharmacy,1460.62,INR,2026-06-03,completed,C1148,wallet,Mumbai,Future date (2026-06-03),Medium,No
TXN100061,QuickMart,retail,20526.77,INR,2026-06-01,failed,C1101,wallet,Bengaluru,None,Low,N/A
TXN100062,,food,12990.43,INR,2026-06-03,pending,C1033,wallet,Hyderabad,Future date (2026-06-03),Medium,No
TXN100063,FuelPlus,fuel,8206.3,INR,2026-06-02,completed,C1187,NEFT,Delhi,Future date (2026-06-02),Medium,No
TXN100064,TechZone,electronics,15774.46,INR,2026-06-01,pending,C1156,card,Kolkata,None,Low,N/A
TXN100065,CafeBlend,food,3065.35,INR,2026-06-02,completed,C1175,netbanking,Mumbai,Future date (2026-06-02),Medium,No
TXN100066,SpeedPay,payments,11406.27,INR,2026-06-01,completed,C1061,NEFT,Mumbai,None,Low,N/A
TXN100025,SpeedPay,payments,15545.2,INR,2026-06-04,failed,C1143,UPI,Mumbai,Future date (2026-06-04),Medium,No
TXN100068,MediPharm,pharmacy,7209.9,INR,2026-06-03,pending,C1048,UPI,Kolkata,Future date (2026-06-03),Medium,No
TXN100069,SpeedPay,payments,767.65,INR,2026-06-01,pending,C1015,netbanking,Mumbai,None,Low,N/A
TXN100070,HealthHub,pharmacy,1213.4,INR,2026-06-03,completed,C1068,netbanking,Bengaluru,Future date (2026-06-03),Medium,No
TXN100071,ByteStore,tech,11723.28,INR,2026-06-02,completed,C1029,card,Chennai,Future date (2026-06-02),Medium,No
TXN100072,PetCorner,pet,3233.36,USD,2026-06-03,failed,C1066,card,Delhi,Future date (2026-06-03) & Currency is USD,Medium,No
TXN100073,QuickMart,retail,-9120.0,INR,2026-06-01,completed,C1059,card,Hyderabad,None,Low,N/A
TXN100074,FuelPlus,fuel,18385.94,INR,2026-06-04,completed,C1091,netbanking,Delhi,Future date (2026-06-04),Medium,No
TXN100075,TechZone,electronics,11898.33,INR,2026-06-01,completed,C1007,card,Mumbai,None,Low,N/A
TXN100076,TechZone,electronics,7637.1,INR,2026-06-03,completed,C1165,UPI,Delhi,Future date (2026-06-03),Medium,No
TXN100077,FuelPlus,fuel,14505.83,INR,2026-06-01,completed,C1127,wallet,Hyderabad,None,Low,N/A
TXN100078,HealthHub,pharmacy,8343.51,INR,2026-06-03,completed,C1182,netbanking,Kolkata,Future date (2026-06-03),Medium,No
TXN100079,FuelPlus,fuel,"1,234.56",INR,2026-06-02,completed,C1008,card,Chennai,Future date (2026-06-02),Medium,No
TXN100080,GroceryHub,grocery,13705.71,INR,2026-06-03,completed,C1159,NEFT,Mumbai,Future date (2026-06-03),Medium,No
TXN100081,TechZone,electronics,9796.76,INR,2026-06-04,failed,C1004,NEFT,Pune,Future date (2026-06-04),Medium,No
TXN100082,MediPharm,pharmacy,1818.68,INR,2026-06-04,completed,C1188,UPI,Chennai,Future date (2026-06-04),Medium,No
TXN100083,AutoFix,automotive,16848.73,EUR,2026-06-04,pending,C1193,netbanking,Hyderabad,Future date (2026-06-04) & Currency is EUR,Medium,No
TXN100084,TechZone,electronics,13356.8,INR,2026-06-01,completed,C1101,card,Bengaluru,None,Low,N/A
TXN100085,ByteStore,tech,20365.17,INR,2026-06-04,Completed,C1086,NEFT,Bengaluru,Future date (2026-06-04),Medium,No
TXN100086,FreshMart,retail,554.04,INR,2026-06-01,completed,C1104,card,Delhi,None,Low,N/A
TXN100087,HealthHub,pharmacy,14626.65,INR,2026-06-01,completed,C1031,netbanking,Mumbai,None,Low,N/A
TXN100088,TechZone,electronics,14730.73,INR,2026-06-01,completed,C1110,netbanking,Mumbai,None,Low,N/A
TXN100089,CloudStore,tech,3070.21,INR,2026-06-03,completed,C1180,wallet,Bengaluru,Future date (2026-06-03),Medium,No
TXN100090,MediPharm,pharmacy,18540.84,INR,2026-06-04,pending,C1161,UPI,Bengaluru,Future date (2026-06-04),Medium,No
TXN100091,MediPharm,pharmacy,9875000,INR,2026-06-03,completed,C1186,card,Kolkata,Future date (2026-06-03),Medium,No
TXN100092,MediPharm,pharmacy,16040.11,INR,2026-06-01,failed,C1017,netbanking,Delhi,None,Low,N/A
TXN100093,PetCorner,pet,2930.07,USD,2026-06-03,failed,C1123,card,Kolkata,Future date (2026-06-03) & Currency is USD,Medium,No
TXN100094,CloudStore,tech,16959.23,INR,2026-06-03,pending,C1064,NEFT,Chennai,Future date (2026-06-03),Medium,No
TXN100095,SpeedPay,payments,4153.96,INR,2026-06-03,completed,C1048,netbanking,Hyderabad,Future date (2026-06-03),Medium,No
TXN100096,CafeBlend,food,17667.2,INR,2026-06-02,failed,C1090,NEFT,Hyderabad,Future date (2026-06-02),Medium,No
TXN100097,FuelPlus,fuel,5082.27,INR,2026-12-31,completed,C1146,UPI,Chennai,Future date (2026-12-31),Medium,No
TXN100098,FreshMart,retail,17304.67,INR,2026-06-04,failed,C1021,UPI,Delhi,Future date (2026-06-04),Medium,No
TXN100099,FuelPlus,fuel,9435.59,INR,2026-06-01,completed,C1001,card,Kolkata,None,Low,N/A
TXN100100,HealthHub,pharmacy,2047.27,INR,2026-06-02,completed,C1049,UPI,Mumbai,Future date (2026-06-02),Medium,No
